"","AGE1","PRDTRACE","PRDASIAN","A_MJOCC","PEIO1COW","PH_SEQ","GEDIV","GEREG","GESTFIPS","HEFAMINC","H_TYPEBC","H_YEAR","H_MONTH"
"42166",6,1,-1,5,4,22897,3,2,26,13,0,2019,3
"42167",11,2,-1,5,4,22898,3,2,26,12,0,2019,3
"42168",14,2,-1,0,0,22901,3,2,26,5,0,2019,3
"42169",13,2,-1,3,2,22901,3,2,26,5,0,2019,3
"42170",12,1,-1,3,7,22902,3,2,26,9,0,2019,3
"42171",6,1,-1,1,4,22903,3,2,26,13,0,2019,3
"42172",6,1,-1,4,4,22903,3,2,26,13,0,2019,3
"42173",9,1,-1,7,4,22904,3,2,26,13,0,2019,3
"42174",2,1,-1,0,0,22904,3,2,26,13,0,2019,3
"42175",0,1,-1,0,0,22904,3,2,26,13,0,2019,3
"42176",9,1,-1,3,4,22904,3,2,26,13,0,2019,3
"42177",4,1,-1,8,4,22905,3,2,26,12,0,2019,3
"42178",17,1,-1,0,0,22906,3,2,26,6,0,2019,3
"42179",4,1,-1,4,4,22907,3,2,26,8,0,2019,3
"42180",12,1,-1,0,0,22907,3,2,26,8,0,2019,3
"42181",9,2,-1,3,4,22909,3,2,26,12,0,2019,3
"42182",3,2,-1,0,0,22909,3,2,26,12,0,2019,3
"42183",3,2,-1,3,4,22909,3,2,26,12,0,2019,3
"42184",0,2,-1,0,0,22909,3,2,26,12,0,2019,3
"42185",9,1,-1,9,4,22910,3,2,26,15,0,2019,3
"42186",9,1,-1,1,4,22910,3,2,26,15,0,2019,3
"42187",2,1,-1,0,0,22910,3,2,26,15,0,2019,3
"42188",2,1,-1,0,0,22910,3,2,26,15,0,2019,3
"42189",15,1,-1,2,4,22912,3,2,26,9,0,2019,3
"42190",14,1,-1,9,4,22913,3,2,26,12,0,2019,3
"42191",11,1,-1,0,0,22913,3,2,26,12,0,2019,3
"42192",9,2,-1,3,4,22914,3,2,26,1,0,2019,3
"42193",1,2,-1,0,0,22914,3,2,26,1,0,2019,3
